행정구역,2025년01월_총인구수,2025년01월_세대수,2025년01월_세대당 인구,2025년01월_남자 인구수,2025년01월_여자 인구수,2025년01월_남여 비율
서울특별시  (1100000000),"9,330,658","4,482,949",2.08,"4,504,432","4,826,226",0.93
서울특별시 종로구 (1111000000),"138,208","72,156",1.92,"66,514","71,694",0.93
서울특별시 종로구 청운효자동(1111051500),"11,040","4,954",2.23,"5,023","6,017",0.83
서울특별시 종로구 사직동(1111053000),"8,939","4,559",1.96,"3,952","4,987",0.79
서울특별시 종로구 삼청동(1111054000),"2,214","1,111",1.99,"1,064","1,150",0.93
서울특별시 종로구 부암동(1111055000),"9,028","4,121",2.19,"4,235","4,793",0.88
서울특별시 종로구 평창동(1111056000),"17,232","7,133",2.42,"7,985","9,247",0.86
서울특별시 종로구 무악동(1111057000),"7,822","2,981",2.62,"3,588","4,234",0.85
서울특별시 종로구 교남동(1111058000),"9,527","4,301",2.22,"4,377","5,150",0.85
서울특별시 종로구 가회동(1111060000),"3,777","1,870",2.02,"1,774","2,003",0.89
서울특별시 종로구 종로1.2.3.4가동(1111061500),"6,647","4,893",1.36,"3,993","2,654",1.5
서울특별시 종로구 종로5.6가동(1111063000),"5,276","3,530",1.49,"2,772","2,504",1.11
서울특별시 종로구 이화동(1111064000),"6,989","4,328",1.61,"3,264","3,725",0.88
서울특별시 종로구 혜화동(1111065000),"15,837","9,148",1.73,"7,614","8,223",0.93
서울특별시 종로구 창신제1동(1111067000),"4,495","2,656",1.69,"2,353","2,142",1.1
서울특별시 종로구 창신제2동(1111068000),"7,328","3,912",1.87,"3,773","3,555",1.06
서울특별시 종로구 창신제3동(1111069000),"6,227","2,739",2.27,"3,062","3,165",0.97
서울특별시 종로구 숭인제1동(1111070000),"5,741","2,995",1.92,"2,775","2,966",0.94
서울특별시 종로구 숭인제2동(1111071000),"10,089","6,925",1.46,"4,910","5,179",0.95
서울특별시 중구 (1114000000),"120,325","64,933",1.85,"57,948","62,377",0.93
서울특별시 중구 소공동(1114052000),"2,166","1,249",1.73,"1,005","1,161",0.87
서울특별시 중구 회현동(1114054000),"4,293","2,483",1.73,"2,235","2,058",1.09
서울특별시 중구 명동(1114055000),"2,510","1,317",1.91,"1,032","1,478",0.7
서울특별시 중구 필동(1114057000),"4,335","2,767",1.57,"2,218","2,117",1.05
서울특별시 중구 장충동(1114058000),"4,535","2,872",1.58,"2,364","2,171",1.09
서울특별시 중구 광희동(1114059000),"5,741","3,966",1.45,"2,823","2,918",0.97
서울특별시 중구 을지로동(1114060500),"3,092","2,112",1.46,"1,668","1,424",1.17
서울특별시 중구 신당동(1114061500),"7,384","4,696",1.57,"3,592","3,792",0.95
서울특별시 중구 다산동(1114062500),"13,034","6,722",1.94,"6,300","6,734",0.94
서울특별시 중구 약수동(1114063500),"15,883","7,700",2.06,"7,300","8,583",0.85
서울특별시 중구 청구동(1114064500),"12,281","5,842",2.1,"5,747","6,534",0.88
서울특별시 중구 신당제5동(1114065000),"10,078","5,418",1.86,"4,902","5,176",0.95
서울특별시 중구 동화동(1114066500),"9,831","3,983",2.47,"4,725","5,106",0.93
서울특별시 중구 황학동(1114067000),"13,122","7,868",1.67,"6,170","6,952",0.89
서울특별시 중구 중림동(1114068000),"12,040","5,938",2.03,"5,867","6,173",0.95
서울특별시 용산구 (1117000000),"203,727","103,204",1.97,"97,392","106,335",0.92
서울특별시 용산구 후암동(1117051000),"15,773","8,266",1.91,"7,570","8,203",0.92
서울특별시 용산구 용산2가동(1117052000),"8,653","4,985",1.74,"4,253","4,400",0.97
서울특별시 용산구 남영동(1117053000),"6,724","4,797",1.4,"4,100","2,624",1.56
서울특별시 용산구 청파동(1117055500),"18,557","11,146",1.66,"8,599","9,958",0.86
서울특별시 용산구 원효로제1동(1117056000),"17,021","9,355",1.82,"7,860","9,161",0.86
서울특별시 용산구 원효로제2동(1117057000),"13,536","6,286",2.15,"6,372","7,164",0.89
서울특별시 용산구 효창동(1117058000),"10,498","4,699",2.23,"4,911","5,587",0.88
서울특별시 용산구 용문동(1117059000),"11,157","5,268",2.12,"5,270","5,887",0.9
서울특별시 용산구 한강로동(1117062500),"20,899","11,219",1.86,"9,891","11,008",0.9
서울특별시 용산구 이촌제1동(1117063000),"24,978","9,097",2.75,"11,695","13,283",0.88
서울특별시 용산구 이촌제2동(1117064000),"7,721","3,567",2.16,"3,602","4,119",0.87
서울특별시 용산구 이태원제1동(1117065000),"6,016","3,409",1.76,"2,996","3,020",0.99
서울특별시 용산구 이태원제2동(1117066000),"8,501","4,778",1.78,"4,052","4,449",0.91
서울특별시 용산구 한남동(1117068500),"14,059","7,153",1.97,"6,629","7,430",0.89
서울특별시 용산구 서빙고동(1117069000),"12,448","5,099",2.44,"5,997","6,451",0.93
서울특별시 용산구 보광동(1117070000),"7,186","4,080",1.76,"3,595","3,591",1
서울특별시 성동구 (1120000000),"273,549","131,857",2.07,"132,354","141,195",0.94
서울특별시 성동구 왕십리제2동(1120052000),"15,930","7,364",2.16,"7,632","8,298",0.92
서울특별시 성동구 왕십리도선동(1120053500),"26,024","12,112",2.15,"12,216","13,808",0.88
서울특별시 성동구 마장동(1120054000),"21,318","10,786",1.98,"10,475","10,843",0.97
서울특별시 성동구 사근동(1120055000),"11,806","8,105",1.46,"6,157","5,649",1.09
서울특별시 성동구 행당제1동(1120056000),"13,696","6,492",2.11,"6,516","7,180",0.91
서울특별시 성동구 행당제2동(1120057000),"22,586","9,167",2.46,"10,533","12,053",0.87
서울특별시 성동구 응봉동(1120058000),"14,690","5,898",2.49,"6,958","7,732",0.9
서울특별시 성동구 금호1가동(1120059000),"14,568","6,420",2.27,"6,905","7,663",0.9
서울특별시 성동구 금호2.3가동(1120061500),"21,033","9,496",2.21,"10,004","11,029",0.91
서울특별시 성동구 금호4가동(1120062000),"14,047","6,386",2.2,"6,613","7,434",0.89
서울특별시 성동구 옥수동(1120064500),"25,320","10,722",2.36,"11,711","13,609",0.86
서울특별시 성동구 성수1가제1동(1120065000),"15,191","7,386",2.06,"7,515","7,676",0.98
서울특별시 성동구 성수1가제2동(1120066000),"12,058","5,977",2.02,"5,855","6,203",0.94
서울특별시 성동구 성수2가제1동(1120067000),"14,127","7,456",1.89,"7,309","6,818",1.07
서울특별시 성동구 성수2가제3동(1120069000),"9,658","5,013",1.93,"4,786","4,872",0.98
서울특별시 성동구 송정동(1120072000),"9,448","5,249",1.8,"4,951","4,497",1.1
서울특별시 성동구 용답동(1120079000),"12,049","7,828",1.54,"6,218","5,831",1.07
서울특별시 광진구 (1121500000),"331,589","169,878",1.95,"158,992","172,597",0.92
서울특별시 광진구 화양동(1121571000),"22,866","18,006",1.27,"10,764","12,102",0.89
서울특별시 광진구 군자동(1121573000),"18,677","11,212",1.67,"9,192","9,485",0.97
서울특별시 광진구 중곡제1동(1121574000),"15,083","8,657",1.74,"7,155","7,928",0.9
서울특별시 광진구 중곡제2동(1121575000),"20,150","10,537",1.91,"9,464","10,686",0.89
서울특별시 광진구 중곡제3동(1121576000),"15,367","8,464",1.82,"7,566","7,801",0.97
서울특별시 광진구 중곡제4동(1121577000),"27,237","13,000",2.1,"13,252","13,985",0.95
서울특별시 광진구 능동(1121578000),"10,914","6,460",1.69,"5,008","5,906",0.85
서울특별시 광진구 광장동(1121581000),"33,704","11,838",2.85,"16,259","17,445",0.93
서울특별시 광진구 자양제1동(1121582000),"21,751","12,099",1.8,"10,549","11,202",0.94
서울특별시 광진구 자양제2동(1121583000),"23,356","10,952",2.13,"11,293","12,063",0.94
서울특별시 광진구 자양제3동(1121584000),"27,001","10,990",2.46,"12,924","14,077",0.92
서울특별시 광진구 자양제4동(1121584700),"19,601","10,922",1.79,"9,643","9,958",0.97
서울특별시 광진구 구의제1동(1121585000),"22,974","13,213",1.74,"10,914","12,060",0.9
서울특별시 광진구 구의제2동(1121586000),"25,222","11,461",2.2,"11,970","13,252",0.9
서울특별시 광진구 구의제3동(1121587000),"27,686","12,067",2.29,"13,039","14,647",0.89
서울특별시 동대문구 (1123000000),"338,822","172,811",1.96,"165,648","173,174",0.96
서울특별시 동대문구 용신동(1123053600),"38,647","21,922",1.76,"19,030","19,617",0.97
서울특별시 동대문구 제기동(1123054500),"22,820","13,088",1.74,"11,691","11,129",1.05
서울특별시 동대문구 전농제1동(1123056000),"32,810","16,515",1.99,"16,300","16,510",0.99
서울특별시 동대문구 전농제2동(1123057000),"17,678","7,462",2.37,"8,387","9,291",0.9
서울특별시 동대문구 답십리제1동(1123060000),"27,799","12,989",2.14,"13,294","14,505",0.92
서울특별시 동대문구 답십리제2동(1123061000),"27,033","12,377",2.18,"12,936","14,097",0.92
서울특별시 동대문구 장안제1동(1123065000),"37,029","18,313",2.02,"18,205","18,824",0.97
서울특별시 동대문구 장안제2동(1123066000),"32,932","14,674",2.24,"16,251","16,681",0.97
서울특별시 동대문구 청량리동(1123070500),"18,437","10,044",1.84,"9,070","9,367",0.97
서울특별시 동대문구 회기동(1123071000),"10,157","6,487",1.57,"4,775","5,382",0.89
서울특별시 동대문구 휘경제1동(1123072000),"13,340","7,549",1.77,"6,211","7,129",0.87
서울특별시 동대문구 휘경제2동(1123073000),"24,007","12,681",1.89,"11,968","12,039",0.99
서울특별시 동대문구 이문제1동(1123074000),"17,231","10,259",1.68,"8,454","8,777",0.96
서울특별시 동대문구 이문제2동(1123075000),"18,902","8,451",2.24,"9,076","9,826",0.92
서울특별시 중랑구 (1126000000),"378,971","188,637",2.01,"185,333","193,638",0.96
서울특별시 중랑구 면목제2동(1126052000),"23,207","12,148",1.91,"11,477","11,730",0.98
서울특별시 중랑구 면목제4동(1126054000),"17,873","8,917",2,"8,888","8,985",0.99
서울특별시 중랑구 면목제5동(1126055000),"14,197","6,347",2.24,"7,033","7,164",0.98
서울특별시 중랑구 면목본동(1126056500),"32,296","17,805",1.81,"15,877","16,419",0.97
서울특별시 중랑구 면목제7동(1126057000),"20,944","10,515",1.99,"10,381","10,563",0.98
서울특별시 중랑구 면목제3.8동(1126057500),"23,846","12,716",1.88,"11,730","12,116",0.97
서울특별시 중랑구 상봉제1동(1126058000),"22,792","10,069",2.26,"11,062","11,730",0.94
서울특별시 중랑구 상봉제2동(1126059000),"20,833","13,110",1.59,"9,779","11,054",0.88
서울특별시 중랑구 중화제1동(1126060000),"18,287","8,849",2.07,"9,037","9,250",0.98
서울특별시 중랑구 중화제2동(1126061000),"23,461","13,437",1.75,"11,996","11,465",1.05
서울특별시 중랑구 묵제1동(1126062000),"33,327","14,925",2.23,"15,851","17,476",0.91
서울특별시 중랑구 묵제2동(1126063000),"17,891","9,178",1.95,"8,787","9,104",0.97
서울특별시 중랑구 망우본동(1126065500),"38,236","18,874",2.03,"18,800","19,436",0.97
서울특별시 중랑구 망우제3동(1126066000),"15,370","8,163",1.88,"7,698","7,672",1
서울특별시 중랑구 신내1동(1126068000),"37,091","14,718",2.52,"17,824","19,267",0.93
서울특별시 중랑구 신내2동(1126069000),"19,320","8,866",2.18,"9,113","10,207",0.89
서울특별시 성북구 (1129000000),"420,710","196,178",2.14,"201,577","219,133",0.92
서울특별시 성북구 성북동(1129052500),"15,782","8,084",1.95,"7,366","8,416",0.88
서울특별시 성북구 삼선동(1129055500),"21,838","11,407",1.91,"10,352","11,486",0.9
서울특별시 성북구 동선동(1129057500),"14,863","9,706",1.53,"6,071","8,792",0.69
서울특별시 성북구 돈암제1동(1129058000),"14,014","6,007",2.33,"6,550","7,464",0.88
서울특별시 성북구 돈암제2동(1129059000),"23,176","8,526",2.72,"10,954","12,222",0.9
서울특별시 성북구 안암동(1129060000),"15,214","10,074",1.51,"7,655","7,559",1.01
서울특별시 성북구 보문동(1129061000),"16,041","8,126",1.97,"7,725","8,316",0.93
서울특별시 성북구 정릉제1동(1129062000),"17,537","7,268",2.41,"8,394","9,143",0.92
서울특별시 성북구 정릉제2동(1129063000),"22,096","9,765",2.26,"10,598","11,498",0.92
서울특별시 성북구 정릉제3동(1129064000),"14,031","7,864",1.78,"6,908","7,123",0.97
서울특별시 성북구 정릉제4동(1129065000),"23,832","10,748",2.22,"11,380","12,452",0.91
서울특별시 성북구 길음제1동(1129066000),"35,545","12,824",2.77,"16,826","18,719",0.9
서울특별시 성북구 길음제2동(1129068500),"21,416","8,480",2.53,"10,243","11,173",0.92
서울특별시 성북구 종암동(1129070500),"36,970","16,900",2.19,"18,218","18,752",0.97
서울특별시 성북구 월곡제1동(1129071500),"25,164","10,687",2.35,"12,110","13,054",0.93
서울특별시 성북구 월곡제2동(1129072500),"18,616","9,551",1.95,"8,848","9,768",0.91
서울특별시 성북구 장위제1동(1129076000),"22,983","10,568",2.17,"11,157","11,826",0.94
서울특별시 성북구 장위제2동(1129077000),"12,838","6,561",1.96,"6,280","6,558",0.96
